id,product,issue,narrative,state,date
11311969,Credit card,"Other features, terms, or problems","I am writing to report an issue regarding the bonus points offer I received for my Chase credit card. The offer stated : "" Book now through XX/XX/XXXX, and you'll earn XXXX bonus points for purchasing a hotel. XXXX by XX/XX/XXXX, to get rewarded. '' I completed my hotel booking and traveled in XX/XX/XXXX, meeting all the stated conditions. However, I have not yet received the XXXX bonus points as promised. 

Please investigate this matter and let me know if any additional information is needed to resolve this issue. I look forward to your assistance in ensuring the reward is credited to my account. 

Thank you for your attention.",CA,2024-12-28
10933635,Checking or savings account,Managing an account,"FACTUAL ALLEGATIONS On XXXX claimant opened a banking account with respondent, upon account opening claimant has attempted to secure his rights, title, and interests for the asset account. Respondents were notified by certified mail and email of Claimant intentions and to no avail respondents have refused to address the claims. Claimant has exhausted his administrative remedies and there is no adequate remedy at law, files these equitable claims, while seeking equitable remedies. 

This claim demonstrates how specific provisions and omissions in Chases Deposit Account Agreement violate statutory, fiduciary, and contractual obligations, as well as consumer property rights. It incorporates breaches of contract laws, Securities fraud, Uniform Commercial Code ( UCC ) provisions, federal statutes, Federal Reserve Act ( FRA ) Section 16, Regulations B, E and Z, 12 CFR 1002.2, and 42 U.S.C. 1981. The inclusion of UCC Articles 2, 3, 4A, 8, and 9, along with an analysis of consumer property rights under FASB standards, strengthens the claims. Supporting Georgia appellate and federal appellate case law is provided for additional legal authority.

This action arises from Respondent Chases systematic and ongoing violations of federal and state laws associated with its Deposit Account Agreement and related banking practices. 

Chase has misrepresented deposits as standard accounts, failing to disclose that deposits function as loans to the bank and qualify as securities under applicable banking laws, rules, and regulations.",GA,2024-11-26
16224057,Checking or savings account,Managing an account,"My account was hacked from a cloned chase bank number. They had reversed XXXX transactions. XXXX being child support and the other brigit. The bank made it look like my fault that I was being hacked, refused to give me any information, and make a joke of fraud while closing the account. They refuse to enlighten me on where a deposit for XXXX went and whether or not it bounced back to the VA to send to the accurate account or if chase bank is sitting on the money. This is after I was hacked for XXXX ( rough amount ). Chase is a half a state away from me and I do not have a vehicle. I am a XXXX XXXX 

I need to pay rent, child support, phone bill, etc.",ME,2025-09-27
19097994,Credit card,"Other features, terms, or problems","As part of securing this credit card, I was promised XXXX bonus points if I spent {$5000.00} within XXXX  days of receipt of the card. XX/XX/year> would have been XXXX  days. Nothing, so thought maybe they would credit me after the XXXX statement was paid on XX/XX/XXXX. Again, nothing. So I called, and without explanation, I was told the situation was being elevated, and expect an answer in XXXX business days. I waited XXXX, and thats all Im going to wait. Chase has already denied me a card without explanation, and without explanation within XXXX  days, but then decided to give me the card, again without explanation. Frankly, I feel Im being targeted, but can not image why. I should not have to sit around, yet again, and attempt to guess what Chase is up to.",NV,2026-01-29
8244723,Credit card,Problem with a purchase shown on your statement,"Hello to the representatives of CFPB and Chase. I am contacting in regards of a problem I am facing with Chase. I purchased something from XXXX XXXX for about XXXX XXXX  dollars. I decided to return the products back to XXXX XXXX, where I got only XXXX out of the XXXX XXXX refunded back to me. I kept reaching out to XXXX XXXX  to resolve the problem they kept telling me to wait and wait every time. I decided to contact Chase to resolve it by creating a dispute. Chase told me that it is not possible to open a dispute, but I made sure to tell them that I had to wait this much to get this problem taken care of. Now neither XXXX XXXX or Chase is responding to my requests and I really need some help getting this under control. I did not know there was a certain amount of time that I needed to wait. Also I could not really get a claim going whenever I was trying to resolve it with XXXXXXXX XXXX.",CA,2024-01-30
15355099,Checking or savings account,Managing an account,"I had fraud on my account where someone impersonated to be from XXXX XXXX XXXX themselves {$2000.00} out of my checking account on XX/XX/year>. 

They were able to enter my online banking change my password add themselves onto XXXX and send the money. 

I immediately contacted the bank",NJ,2025-08-18
14222853,"Money transfer, virtual currency, or money service",Fraud or scam,"I paid {$3000.00} via XXXX to a landlord for the first months rent and security deposit on an apartment in XXXX, Maine. 

Upon move-in, the unit was found to be infested with XXXX cockroaches and was uninhabitable. I notified the landlord immediately and legally terminated the lease within a few days due to unsafe living conditions. However, the landlord refused to return my money, then blocked me on XXXX, cutting off any ability to resolve the issue. 

He has since re-rented the apartment on XXXX while still keeping my money. I believe he is using peer-to-peer payment platforms to bypass formal tenant protections and fraudulently retain funds without delivering services. I am concerned this may be part of a larger pattern, especially as he may not be a registered landlord or business. 

I have filed complaints with local authorities and the state attorney general, and I am pursuing the matter in small claims court, but I am requesting the CFPB investigate the financial misuse of peer-to-peer services by this individual.",AZ,2025-06-22
13560200,Checking or savings account,Managing an account,"My boss made me a transfer on XX/XX/year> and because of the type of account I had, the transfer was not completed, I contacted my bank and they tell me that the transfer is going to be returned, and from that day on my boss has not returned the transfer and in his bank they tell him that it is withheld in my bank",OH,2025-05-16
16598094,"Money transfer, virtual currency, or money service",Fraud or scam,"I was the victim of a scam involving someone impersonating a Chase Bank employee on Saturday, XXXX XXXX XXXX XXXX XXXX XXXX. The scammer called me from a phone number that appeared to be from Chase ( spoofed caller ID ) and claimed there was suspicious activity on my account. They convinced me that in order to protect my money and block the transactions from coming out, I needed to send funds to what they described as a "" secure Chase account '' via XXXX to their representative who was handling the case, the name which appears on the XXXX they led me to believe was a Chase employee who worked in their fraud department. I even had my daughter call the number back and it directly led into the Chase fraud department. 

I followed their instructions and transferred the money, only to later discover that it was a fraudulent scam. As soon as I realized the fraud, my bank account depleted, I reported the incident to Chase 's fraud team and submitted a claim. Despite clearly being impersonated and manipulated, Chase denied my claim, stating the transaction was "" authorized, '' even though it was made under false pretenses and pressure to believe someone was stealing my funds. 

This was not a case of buyers remorse or sending money to someone I knew this was a case of bank impersonation fraud involving a spoofed number, and social engineering tactics that made it appear I was communicating with a legitimate Chase representative. I called the number too and it was the actual Chase Fraud department and the fraud claims person attested to me that is was in fact a valid Chase phone number. 

I also reported the incident to the Federal Trade Commission and am prepared to provide any supporting documentation ( e.g., screenshots, call logs, or a police report ). 

I believe Chase failed to take proper responsibility for this sophisticated fraud and should reconsider my claim under applicable consumer protection laws.

I want Chase to reopen and review my fraud claim, acknowledge that I was the victim of a scam involving impersonation of their own employee, and reimburse the {$1000.00} in funds that were stolen under false pretenses. I also want assurance that Chase is taking steps to prevent this type of fraud and to better protect customers using XXXX.",CA,2025-10-15
10117336,Checking or savings account,Managing an account,There was a {$19.00} fraudulent charge on my business checking from XXXX. I called customer service and they didnt bother to handle the claim. Im requesting chase satisfy their Reg E requirements.,CA,2024-09-13
